"_id","_labels","chunk_index","embedding","id","index","name","text","weather","_start","_end","_type","fromYear"
"262",":Equipment:__Entity__","","","RCRs rated at 300 amps A-700AP and AAP","","","","",,,,
"263",":Date:__Entity__","","","24 October 1975","","","","",,,,
"264",":Task:__Entity__","","","electrical wiring adjacent to the RCRs","","","","",,,,
"265",":Modification:__Entity__","","","Modification 6/1585","","","","",,,,
"266",":Date:__Entity__","","","28 February 1978","","","","",,,,
"267",":Equipment:__Entity__","","","part number A-701D, rated at 400 amps","","","","",,,,
"268",":Document","","","a6070d345ae60dc1c92622c1625ce61d","","","U.S AWD 78-01-05 main distribution box rewiring complied with as per modification No. 6/1598 And S.B 6/353.
Examination of right RCR removed at Calgary
The right RCR (s/n A98995), which was removed at Calgary before the start of the ferry flight, was examined by the AAIB and tested by a specialist organisation. The RCR was fitted with a data plate identifying it as Part Number A-700A, rated at 300 amps. With the exception of the test for the volt relay coil (R1), and the resistance check across the generator and battery terminals, the RCR met all the requirements in the specification.","",,,,
"269",":Organization:__Entity__","","","a specialist organisation","","","","",,,,
"270",":Modification:__Entity__","","","modification No. 6/1598 And S.B 6/353","","","","",,,,
"271",":Equipment:__Entity__","","","right RCR (s/n A98995)","","","","",,,,
"272",":Location:__Entity__","","","Calgary","","","","",,,,
"273",":Test:__Entity__","","","test for the volt relay coil (R1), and the resistance check across the generator and battery terminals","","","","",,,,
"274",":Specification:__Entity__","","","Part Number A-700A, rated at 300 amps","","","","",,,,
"275",":Equipment:__Entity__","","","U.S AWD 78-01-05 main distribution box","","","","",,,,
"276",":Document","","","2b8121f509a5f143cbe61223ba9f0bf4","","","The tests established that relay R1 closed at 15V and opened at 3v. These values were outside the specified limits of 20V to 24V for closing and more than 18V for opening. The RCR was removed from its container and the relay was operated by hand before being retested. During the second test the relay closing and opening voltages were found to be 22.7V and 18.7V respectively, which is within the acceptable limits.
The resistance across the generator and battery terminals was established by measuring the voltage drop when a load bank and standard resistor were connected in series with the RCR. The measured voltage drop was 39.2 mV at 50 amps, which gave a resistance across the contacts of 0.748 mΩ. The specification states that for a maximum
© Crown copyright 2010 22
AAIB Bulletin: 11/2010 C-FAKB EW/C2010/02/01
voltage drop of 100 mV at 300 amps, the resistance should not exceed 0.333 mΩ. Therefore the contact resistance was higher than the maximum permitted value.","",,,,
"277",":Voltage:__Entity__","","","18.7V","","","","",,,,
"278",":Voltage Range:__Entity__","","","20V to 24V","","","","",,,,
"279",":Equipment:__Entity__","","","generator and battery terminals","","","","",,,,
"280",":Voltage:__Entity__","","","more than 18V","","","","",,,,
"281",":Resistance:__Entity__","","","0.748 mΩ","","","","",,,,
"282",":Voltage Drop Limit:__Entity__","","","100 mV at 300 amps","","","","",,,,
"283",":Container:__Entity__","","","container","","","","",,,,
"284",":Specification:__Entity__","","","specification","","","","",,,,
"285",":Value:__Entity__","","","maximum permitted value","","","","",,,,
"286",":Resistance:__Entity__","","","0.333 mΩ","","","","",,,,
"287",":Voltage Drop:__Entity__","","","39.2 mV at 50 amps","","","","",,,,
"288",":Voltage:__Entity__","","","15V","","","","",,,,
"289",":Measurement:__Entity__","","","contact resistance","","","","",,,,
"290",":Voltage:__Entity__","","","3V","","","","",,,,
"291",":Voltage:__Entity__","","","22.7V","","","","",,,,
"292",":Document","","","56f1fcbc4cc94d2621108aae06a133f0","","","The RCR appeared, from a visual inspection, to be old and the covering of the voltage relay coil (R1) had the appearance of having being degraded by heat. There was light pitting on the contacts of the main relay coil (R3) and it was noted that a fine braid, forming a connection at the differential voltage contacts, was passed around the spindle of the moving part of the differential relay R2.
Examination of power distribution and generator control box
The damage indicates that the left RCR was the source of the fire and the temperature was sufficiently high to destroy the majority of the cover and the container in which the components for the RCR are located, Figure 4.","",,,,
"293",":Component:__Entity__","","","contacts of the main relay coil (R3)","","","","",,,,
"294",":Characteristic:__Entity__","","","old","","","","",,,,
"295",":Component:__Entity__","","","covering of the voltage relay coil (R1)","","","","",,,,
"296",":Characteristic:__Entity__","","","light pitting","","","","",,,,
"297",":Component:__Entity__","","","fine braid","","","","",,,,
"298",":Object:__Entity__","","","majority of the cover and the container in which the components for the RCR are located","","","","",,,,
"299",":Condition:__Entity__","","","temperature","","","","",,,,
"300",":Location:__Entity__","","","differential voltage contacts","","","","",,,,
"301",":Document","","","7ceba64f0e3355527e9411c9962e110c","","","One of the two contact faces in the main relay (R3) had welded closed and the face on the second contact had light pitting. This pitting was similar to that seen on the faces of the main contact in the right RCR which had been removed at Calgary. While the data plate had been destroyed, the components in the left RCR, and the design of the main contacts (R3), were found to be identical to the components in the right RCR that had been replaced at Calgary; the right RCR had a data plate identifying it as an A-700A relay. The documentation for the left RCR also identified it as an A-700A relay rated at 300 amps.","",,,,
"302",":Product:__Entity__","","","A-700A relay rated at 300 amps","","","","",,,,
"303",":Characteristic:__Entity__","","","welded closed face","","","","",,,,
"304",":Characteristic:__Entity__","","","pitting on main contact faces in right RCR","","","","",,,,
"305",":Component:__Entity__","","","second contact in main relay (R3)","","","","",,,,
"306",":Component:__Entity__","","","main contacts (R3)","","","","",,,,
"307",":Component:__Entity__","","","data plate on right RCR","","","","",,,,
"308",":Component:Equipment:__Entity__","","","right RCR","","","","",,,,
"309",":Component:__Entity__","","","components in right RCR","","","","",,,,
"310",":Part:Product:__Entity__","","","A-700A relay","","","","",,,,
"311",":Characteristic:__Entity__","","","pitting on second contact face","","","","",,,,
"312",":Component:__Entity__","","","main relay (R3)","","","","",,,,
"313",":Document","","","526379c00d4cb6be88f253876a9a9e6d","","","Four holes had been burnt through the stainless steel heat shield positioned around the left RCR, Figure 5. The holes were the result of arcing between the metal components in the left RCR and the heat shields; three of the holes were approximately 10 mm high and 20 mm long, the fourth was slightly smaller. The sides of the DC bus tie and the right RCR, which were mounted adjacent to the left RCR, had also been damaged by heat. The insulation on all the electrical control wires to the left RCR had melted and there was evidence of arcing having occurred between some of the wires
Left RCR
Figure 4
Damage to left RCR
© Crown copyright 2010 23
AAIB Bulletin: 11/2010 C-FAKB EW/C2010/02/01
and adjacent metal components. The insulation on the electrical control wires for the right RCR had also melted where they passed through the access hole in the side of the power distribution box. The damage was such that all these wires would have shorted on the side of the power distribution box.","",,,,
"314",":Comparison:__Entity__","","","slightly smaller than three holes","","","","",,,,
"315",":Component:__Entity__","","","wires","","","","",,,,
"316",":Location:__Entity__","","","access hole in power distribution box","","","","",,,,
"317",":Component:__Entity__","","","stainless steel heat shield","","","","",,,,
"318",":Measurement:__Entity__","","","10 mm high and 20 mm long","","","","",,,,
"319",":Cause:__Entity__","","","arcing","","","","",,,,
"320",":Damage:__Entity__","","","fourth hole","","","","",,,,
"321",":Damage:__Entity__","","","three holes","","","","",,,,
"322",":Component:__Entity__","","","electrical control wires for right RCR","","","","",,,,
"323",":Location:__Entity__","","","side of the power distribution box","","","","",,,,
"324",":Damage:__Entity__","","","holes","","","","",,,,
"325",":Component:__Entity__","","","insulation on electrical control wires to left RCR","","","","",,,,
"326",":Component:__Entity__","","","sides of the DC bus tie and right RCR","","","","",,,,
"327",":Cause:__Entity__","","","arcing between metal components and heat shields","","","","",,,,
"328",":Document","","","44c5828a36091999884feaf533956974","","","The routing of the wiring in the power distribution and generator control box is dependent on the modification state of the aircraft. However, the routing of the wiring did not appear to conform to any of the four drawings in SB 6/353: the installation was closest to the configuration detailed at A/S 136-310 Pre Mod 6/1274 & Pre Mod 6/1389. This was not considered to be a factor in this accident.
Examination by the Original Equipment Manufacturer
The Original Equipment Manufacturer (OEM) examined the right RCR (part number A-700A) removed at Calgary prior to the ferry flight.
The OEM was of the opinion that the RCR might have been manufactured between 1944 and 1966 when the part number A-700A became obsolete and was replaced with part number A-700AP. The OEM no longer held any drawings for the A-700A units and had no production information for either of the RCRs (part number A-700A) fitted to C-FAKB. They were, therefore, unable to determine if the RCRs were authentic components.","",,,,
"329",":Component:__Entity__","","","right RCR (part number A-700A) removed at Calgary","","","","",,,,
"330",":Configuration:__Entity__","","","configuration detailed at A/S 136-310 Pre Mod 6/1274 & Pre Mod 6/1389","","","","",,,,
"331",":Document:__Entity__","","","drawings for the A-700A units","","","","",,,,
"332",":Time Period:__Entity__","","","RCR might have been manufactured between 1944 and 1966","","","","",,,,
"333",":State:__Entity__","","","modification state of the aircraft","","","","",,,,
"334",":Organization:__Entity__","","","The Original Equipment Manufacturer (OEM)","","","","",,,,
"335",":Installation:__Entity__","","","The installation","","","","",,,,
"336",":Document:__Entity__","","","SB 6/353 drawings","","","","",,,,
"337",":Process:__Entity__","","","The routing of the wiring","","","","",,,,
"338",":Organization:__Entity__","","","The OEM","","","","",,,,
"339",":Authenticity:__Entity__","","","if the RCRs were authentic components","","","","",,,,
"340",":Document","","","60d37a45d585d3a336293f8eb1394844","","","The OEM was not aware of any overhaul manuals having been produced for the A-700A relays. They also had no production test documentation or any other documents that contained adjustment or repair instructions. Their advice was that the relays should be discarded if they are removed from the aircraft.
History of the reverse current relays
The documentation for the RCRs fitted to the aircraft at the time of the accident and the right RCR removed at Calgary indicated that they had all been recently
Holes in heat shield Right RCRBus tie Reverse current CB
Figure 5
Damage to heat shield
© Crown copyright 2010 24
AAIB Bulletin: 11/2010 C-FAKB EW/C2010/02/01
overhauled and had flown relatively few hours prior to the accident.
Left RCR","",,,,
"341",":Equipment:__Entity__","","","relays removed from aircraft","","","","",,,,
"342",":Vehicle:__Entity__","","","aircraft at the time of accident","","","","",,,,
"343",":Document:__Entity__","","","overhaul manuals for A-700A relays","","","","",,,,
"344",":Time:__Entity__","","","relatively few hours","","","","",,,,
"345",":Document:__Entity__","","","production test documentation","","","","",,,,
"346",":Document:__Entity__","","","adjustment or repair instructions","","","","",,,,
"347",":Organization:__Entity__","","","OEM","","","","",,,,
"348",":Document","","","3c372476207100530d7d1acfadde539e","","","Left RCR
The left RCR (A-700A, s/n 50747) was rated at 300 amps and had been fitted to the aircraft in December 2009, 35 flying hours prior to the accident. The Authorized Release Certificate, which was dated 10/8/2009, recorded that the unit had been overhauled I.A.W. Hartman Manual A-700A. The following comment was recorded in the teardown report:
Found all contacts are pitted
and in the work accomplished section of the report the following action was recorded:
Overhaul the unit I.A.W Hartman Manual No. A-700A reqd (Polish and repair the contacts, carried out current drop test as per reqd).
Right RCR
The right RCR (A-701D, s/n CON318) was fitted at Calgary on 21 February 2010 and was rated at 400 amps. The Authorized Release Certificate, which was dated 12/17/2009, recorded that the unit had been repaired and tested I.A.W. Hartman Manual No A-700D. Rev. M Apr/1996.
Right RCR removed at Calgary","",,,,
"349",":Condition:__Entity__","","","pitted","","","","",,,,
"350",":Location and Date:__Entity__","","","Calgary on 21 February 2010","","","","",,,,
"351",":Manual:__Entity__","","","Hartman Manual A-700A","","","","",,,,
"352",":Manual:__Entity__","","","Hartman Manual No A-700D. Rev. M Apr/1996","","","","",,,,
"353",":Duration:__Entity__","","","35 flying hours","","","","",,,,
"354",":Date:__Entity__","","","December 2009","","","","",,,,
"355",":Action:__Entity__","","","Overhaul the unit I.A.W Hartman Manual No. A-700A reqd (Polish and repair the contacts, carried out current drop test as per reqd)","","","","",,,,
"356",":Document","","","ae8af8d6a6e91f5bae58bf63c3dcf7c0","","","Right RCR removed at Calgary
The right RCR (A-700A, s/n A98995) removed at Calgary on 21 February 2010 was rated at 300 amps and had been fitted to the aircraft on 29 November 2009. It had flown 13 flying hours before it was removed from the aircraft on 21 February 2010. The Authorized Release Certificate, which was dated 10/7/2009, recorded that the unit had been overhauled I.A.W. Hartman Manual A-700A. The following comment was recorded in the teardown report:
Found all contacts are pitted
and in the work accomplished section of the report the following action was recorded:
Overhaul the unit I.A.W Hartman Manual No. A-700A reqd (Polish and repair the contacts, carried out current drop test as per reqd).","",,,,
"357",":Date:__Entity__","","","29 November 2009","","","","",,,,
"358",":Date:__Entity__","","","10/7/2009","","","","",,,,
"359",":Report:__Entity__","","","Teardown report","","","","",,,,
"360",":Manual:__Entity__","","","Hartman Manual No. A-700A","","","","",,,,
"361",":Component:__Entity__","","","RCR (A-700A, s/n A98995)","","","","",,,,
"362",":Certificate:Document:__Entity__","","","Authorized Release Certificate","","","","",,,,
"363",":Specification:__Entity__","","","13 flying hours","","","","",,,,
"364",":Section:__Entity__","","","Work accomplished section of the report","","","","",,,,
"365",":Document","","","757abf9d5607bd1538d69e9176361667","","","The maintenance organisation that overhauled and repaired the RCR provided the investigation with a copy of the Hartman Manual referenced in the Authorized Release Certificate. The cover sheet of this document had the title Donallco aircraft accessories and component parts. The remainder of the document was annotated Hartman and had the title Installation Instructions for Switch, Generator Control relay (Differential) …. Manufacturers Part No A-700A). However, this document only provided information on the testing of the relay and did not contain any information as to how to overhaul or repair the component.
Inspection requirements for reverse current relays","",,,,
"366",":Title:__Entity__","","","Installation Instructions for Switch, Generator Control relay (Differential) …. Manufacturers Part No A-700A)","","","","",,,,
"367",":Annotation:__Entity__","","","Hartman","","","","",,,,
"368",":Document Part:__Entity__","","","cover sheet of Hartman Manual","","","","",,,,
"369",":Task:__Entity__","","","overhaul or repair of component","","","","",,,,
"370",":Document:__Entity__","","","Hartman Manual","","","","",,,,
"371",":Title:__Entity__","","","Donallco aircraft accessories and component parts","","","","",,,,
"372",":Activity:__Entity__","","","testing of the relay","","","","",,,,
"373",":Document Part:__Entity__","","","remainder of Hartman Manual","","","","",,,,
"374",":Event:__Entity__","","","investigation","","","","",,,,
"375",":Document","","","b113827e19ec811343b5b6bc2ff79838","","","The DHC-6 is on a 3,000 hour inspection schedule with a C check required every 500 hours. The inspection Requirements Manual (PSM 1-6-7) calls for the contacts on relays A-700AP and A-700AAP to be examined in accordance with SB 6/338 every 1,200 hours. It also calls for the relay to be removed and bench tested every 3,000 hrs during the C6 check. There is no requirement for the relays to be overhauled.
Analysis
Cause of fire
The damage to the aircraft indicates that the electrical fire started in the left RCR and the fire, and associated heat damage, did not spread outside the power distribution and generator control box.
© Crown copyright 2010 25
AAIB Bulletin: 11/2010 C-FAKB EW/C2010/02/01","",,,,
"376",":Inspection Schedule:__Entity__","","","3,000 hour inspection schedule","","","","",,,,
"377",":Maintenance Procedure:__Entity__","","","relay to be removed and bench tested every 3,000 hours during the C6 check","","","","",,,,
"378",":Manual:__Entity__","","","PSM 1-6-7","","","","",,,,
"379",":Maintenance Requirement:__Entity__","","","no requirement for overhaul","","","","",,,,
"380",":Maintenance Check:__Entity__","","","C check every 500 hours","","","","",,,,
"381",":Component:__Entity__","","","Relays A-700AP and A-700AAP","","","","",,,,
"382",":Maintenance Procedure:__Entity__","","","contacts on relays A-700AP and A-700AAP every 1,200 hours","","","","",,,,
"383",":Event:__Entity__","","","fire and associated heat damage","","","","",,,,
"384",":Document","","","61006b592191f5f2e88128da31972563","","","AAIB Bulletin: 11/2010 C-FAKB EW/C2010/02/01
The first indication to the crew was the two brief flickers on the left generatorGENERATOR caution caption. It is likely that this was caused by the rapid opening and closing of the main contacts (R3) in the left RCR. With the left generator on-line, it is likely that this action would have resulted in arcing between the moving and fixed contact plates, which may have been sufficient to weld one of the two contacts in the closed position. When the crew checked the DC load meter they noticed that on the left system the needle was fully deflected to the left, and on the right system was partially deflected to the right. This indicates that while the right generator was providing power to the right DC bus, current of at least 400 amps was flowing into the left starter/generator. It is this current flow which most probably caused, and sustained, the electrical fire.","",,,,
"385",":Event:__Entity__","","","arc","","","","",,,,
"386",":Outcome:__Entity__","","","welding of one of the two contacts in closed position","","","","",,,,
"387",":Observation:__Entity__","","","needle fully deflected to the left on the left system DC load meter","","","","",,,,
"388",":Event:__Entity__","","","action resulting in arcing between moving and fixed contact plates","","","","",,,,
"389",":Component:__Entity__","","","right DC bus","","","","",,,,
"390",":Event:__Entity__","","","two brief flickers on the left generator caution caption","","","","",,,,
"391",":Mechanism:__Entity__","","","rapid opening and closing of the main contacts (R3) in the left RCR","","","","",,,,
"392",":Document","","","a380009225ae57eab47b8dfa43088051","","","Although the crew had turned both generators off , and disconnected the DC bus tie, the right engine continued to turn at 12% to 15% Ng after both engines had been shut down. This shows that at the end of the flight the aircraft battery was providing electrical power to the right starter/generator, and the DC bus tie and the main contacts in the right RCR must have been in the closed position. It is, therefore, probable that the damage to the left RCR and the electrical control wires in the electrical power distribution box had already occurred before the crew attempted to disconnect the generators.","",,,,
"393",":State:__Entity__","","","closed position","","","","",,,,
"394",":Action:__Entity__","","","disconnecting generators","","","","",,,,
"395",":Component:__Entity__","","","right starter/generator","","","","",,,,
"396",":Component:__Entity__","","","main contacts in the right RCR","","","","",,,,
"397",":Measurement:__Entity__","","","12% to 15% Ng","","","","",,,,
"398",":Event:__Entity__","","","damage to the left RCR and electrical control wires","","","","",,,,
"399",":Document","","","15723691c0538583a23d0f0b8aa5cc6b","","","The investigation was unable to determine the reason why the main contacts (R3) in the left RCR might have started to open and close during the flight. No faults were found in the electrical wiring outside the power distribution and generator control box. After the aircraft had been rewired, and the damaged components replaced, the DC electrical generator system was found to operate satisfactorily indicating that there were no faults in the generators or voltage regulators.
The left RCR and the wiring in the power distribution and generator control box were extensively damaged and consequently it was not possible to determine if the fire had been the result of a fault in the RCR or a damaged wire that controlled the RCR.
Heat shield","",,,,
"400",":Location:__Entity__","","","outside the power distribution and generator control box","","","","",,,,
"401",":Cause:__Entity__","","","fault in the RCR or a damaged wire that controlled the RCR","","","","",,,,
"402",":Event:__Entity__","","","started to open and close during the flight","","","","",,,,
"403",":System:__Entity__","","","electrical wiring","","","","",,,,
"404",":Document","","","9c7868ce1c801e0b0c3058d4285b6b89","","","Heat shield
As a result of previous occurrences of RCRs overheating and damaging adjacent components, Transport Canada issued an AD in 1977 that resulted in the introduction of fire resistance panels in the power distribution and generator control box. While the required modification (6/1598) had been embodied on C-FAKB, the heat shields were breached in four places as a result of arcing between the metal components in the RCR and the heat shields. Consequently the DC bus tie, right RCR, battery power cable and several electrical control cables all sustained some damage. The following Safety Recommendation is therefore made to Transport Canada:
Safety Recommendation 2010-083
It is recommended that Transport Canada reviews the design and efficacy of the heat shields fitted around the Reverse Current Relays on De Havilland DHC-6 aircraft that were introduced as a result of Airworthiness Directive CF-77-08.
Reverse current relays","",,,,
"405",":Cause:__Entity__","","","arcing between the metal components in the RCR and the heat shields","","","","",,,,
"406",":Modification:__Entity__","","","fire resistance panels in the power distribution and generator control box","","","","",,,,
"407",":Cause:__Entity__","","","breached heat shields","","","","",,,,
"408",":Equipment:__Entity__","","","Reverse Current Relays on De Havilland DHC-6 aircraft","","","","",,,,
"409",":Recommendation:__Entity__","","","Safety Recommendation 2010-083","","","","",,,,
"410",":Component:__Entity__","","","Heat shields","","","","",,,,
"411",":Components:__Entity__","","","DC bus tie, right RCR, battery power cable, several electrical control cables","","","","",,,,
"412",":Document","","","6376e140018289eae7ad6680abd1ab22","","","Reverse current relays
The investigation established that the left RCR that failed during the accident flight and the right relay removed prior to the start of the ferry flight were both identified as A-700A relays, which is an obsolete part that has not been approved for use on the De Havilland
© Crown copyright 2010 26
AAIB Bulletin: 11/2010 C-FAKB EW/C2010/02/01
DHC-6. The following safety recommendation is therefore made to Transport Canada:
Safety Recommendation 2010-084
It is recommended that Transport Canada takes appropriate action to ensure that only approved Reverse Current Relays are fitted to De Havilland DHC-6 aircraft.","",,,,
"413",":Action:__Entity__","","","only approved Reverse Current Relays are fitted to De Havilland DHC-6 aircraft","","","","",,,,
"414",":Airplane Model:__Entity__","","","De Havilland DHC-6","","","","",,,,
"415",":Component:__Entity__","","","right relay","","","","",,,,
"416",":Equipment:Part:__Entity__","","","A-700A relays","","","","",,,,
"417",":Event:__Entity__","","","start of the ferry flight","","","","",,,,
"418",":Document","","","db723c6379a33a632968d583869edc7d","","","A review of previous occurrences of overheating of the RCRs indicates that failures generally occurred due to arcing, and welding, of the main contacts and was most likely to occur on the relays rated at 300 amps (A-700AP and A-700AAP). While modification 6/1585 introduced relay A-701D, rated at 400 amps with an improved contact design, there was no requirement to replace the existing 300 amps relays providing their contacts were examined every 1,200 hours. Given that most of the occurrences of overheating appear to have occurred with the relays rated at 300 amps, the following Safety Recommendation is made to Transport Canada:
Safety Recommendation 2010-085
It is recommended that Transport Canada require the replacement of existing Reverse Current Relays (part number A-700AP and A-700AAP) fitted to De Havilland DHC-6 aircraft with relays of a higher current rating and improved design of the electrical contacts.","",,,,
"419",":Event:__Entity__","","","overheating occurrences","","","","",,,,
"420",":Product:__Entity__","","","relays rated at 300 amps","","","","",,,,
"421",":Product:__Entity__","","","existing 300 amps relays","","","","",,,,
"422",":Condition:__Entity__","","","contacts examined every 1,200 hours","","","","",,,,
"423",":Specification:__Entity__","","","relays of a higher current rating and improved design","","","","",,,,
"424",":Product:__Entity__","","","existing Reverse Current Relays (A-700AP and A-700AAP)","","","","",,,,
"425",":Product:__Entity__","","","relay A-701D","","","","",,,,
"426",":Failure Cause:__Entity__","","","arcing, welding of main contacts","","","","",,,,
"427",":Characteristic:__Entity__","","","improved contact design","","","","",,,,
"428",":Event:__Entity__","","","failures","","","","",,,,
"429",":Recommendation:__Entity__","","","Safety Recommendation 2010-085","","","","",,,,
"430",":Product:__Entity__","","","relays rated at 300 amps (A-700AP and A-700AAP)","","","","",,,,
"431",":Document","","","395be5a66371244eabcffea88ff5c4e5","","","While the Authorised Release Certificates recorded that both A-700A relays had been overhauled, the maintenance organisation responsible confirmed that they had not undergone a full overhaul, but instead had been electrically tested in accordance with what they believed was the OEM manual. The normal practice was that if the relay failed any part of the test then the relevant component would be replaced and the relay retested. This approach was entirely consistent with the DHC-6 Inspection Requirements Manual, which only required the relays to be bench tested every 3,000 flying hours. However, the left RCR which caught fire had only flown for approximately 35 flying hours since it was last tested and the right RCR (serial number A98995) removed prior to the start of the ferry flight, had only flown approximately 13 flying hours.","",,,,
"432",":Time Period:__Entity__","","","approximately 35 flying hours","","","","",,,,
"433",":Time Period:__Entity__","","","approximately 13 flying hours","","","","",,,,
"434",":Document:__Entity__","","","Authorised Release Certificates","","","","",,,,
"435",":Equipment:__Entity__","","","relays","","","","",,,,
"436",":Equipment:__Entity__","","","relay","","","","",,,,
"437",":Identifier:__Entity__","","","A98995","","","","",,,,
"438",":Organization:__Entity__","","","maintenance organisation responsible","","","","",,,,
"439",":Component:__Entity__","","","relevant component","","","","",,,,
"440",":Procedure:__Entity__","","","approach","","","","",,,,
"441",":Manual:__Entity__","","","DHC-6 Inspection Requirements Manual","","","","",,,,
"442",":Time Period:__Entity__","","","3,000 flying hours","","","","",,,,
"443",":Manual:__Entity__","","","OEM manual","","","","",,,,
"444",":Document","","","676a50697fe5c184e5c6a092ff557b7b","","","While the subsequent internal visual examination of the right RCR (serial number A98995) established that one of the coils appeared to have been degraded by heat due to normal aging, there would have been no requirement to replace this coil providing the RCR passed the required electrical test. The contact pressure is a factor in preventing arcing across the contacts and is normally established by measuring the relay over-travel, but this parameter is only checked during overhaul of the relay and cannot be established during electrical tests. It is, therefore, possible that an RCR with a degraded coil and insufficient contact pressure could pass all the required tests and be authorised to fly for a further 3,000 hours. The following Safety Recommendation is, therefore, made to Transport Canada:
Safety Recommendation 2010-086","",,,,
"445",":Duration:__Entity__","","","further 3,000 hours","","","","",,,,
"446",":Event:__Entity__","","","arcing across the contacts","","","","",,,,
"447",":Equipment:__Entity__","","","RCR (serial number A98995)","","","","",,,,
"448",":Characteristic:__Entity__","","","contact pressure","","","","",,,,
"449",":Condition:__Entity__","","","degraded coil due to heat from normal aging","","","","",,,,
"450",":Equipment Condition:__Entity__","","","RCR with degraded coil and insufficient contact pressure","","","","",,,,
"451",":Test:__Entity__","","","required electrical test","","","","",,,,
"452",":Method:__Entity__","","","relay over-travel","","","","",,,,
"453",":Tests:__Entity__","","","required tests","","","","",,,,
"454",":Recommendation:__Entity__","","","Safety Recommendation 2010-086","","","","",,,,
"455",":Parameter:__Entity__","","","parameter (contact pressure)","","","","",,,,
"456",":Process:__Entity__","","","overhaul of the relay","","","","",,,,
"457",":Document","","","65d69bc80ecb4447f78e1a9571335daa","","","Safety Recommendation 2010-086
It is recommended that Transport Canada reviews the maintenance requirements for the Reverse Current Relay fitted to De Havilland DHC-6 aircraft and considers requiring the relay to be overhauled on a regular basis.
The Authorized Release Certificate for RCRs serial numbers 33284 and 33283 stated that the relays had been overhauled I.A.W Hartman Manual A-700A.
© Crown copyright 2010 27
AAIB Bulletin: 11/2010 C-FAKB EW/C2010/02/01
While the document which the overhaul agency referred to was annotated with the OEMs name, the OEM has advised the investigation that they have not produced an overhaul manual for the A-700A RCRs. Moreover, the title of the document is Installation Instructions and only contained information on the testing of the relay. The following Safety Recommendation is, therefore, made to the overhaul agency:
Safety Recommendation 2010-087","",,,,
"458",":Serial Numbers:__Entity__","","","33284 and 33283","","","","",,,,
"459",":Organization Name:__Entity__","","","OEM's name","","","","",,,,
"460",":Component:__Entity__","","","Reverse Current Relay (RCR)","","","","",,,,
"461",":Component:__Entity__","","","A-700A RCRs","","","","",,,,
"462",":Document:__Entity__","","","Authorized Release Certificate for RCRs serial numbers 33284 and 33283","","","","",,,,
"463",":Document:__Entity__","","","Document referred by overhaul agency","","","","",,,,
"464",":Recommendation:__Entity__","","","Safety Recommendation 2010-087","","","","",,,,
"465",":Organization:__Entity__","","","overhaul agency","","","","",,,,
"466",":Aircraft Model:__Entity__","","","De Havilland DHC-6 aircraft","","","","",,,,
"467",":Maintenance Requirement:__Entity__","","","maintenance requirements for Reverse Current Relay on De Havilland DHC-6 aircraft","","","","",,,,
"468",":Component:__Entity__","","","Reverse Current Relay","","","","",,,,
"469",":Document","","","ab51a433a0d812792c47f2cf495c7f7d","","","Safety Recommendation 2010-087
It is recommended that Transport Canada conduct an audit of Condor Aircraft Accessories Incs internal processes to ensure that work recorded on the Authorized Release Certificate accurately reflects the work carried out on the component.","",,,,
"470",":Recorded Work:__Entity__","","","Work recorded on the Authorized Release Certificate","","","","",,,,
"471",":Process:__Entity__","","","Condor Aircraft Accessories Inc's internal processes","","","","",,,,
"472",":Activity:__Entity__","","","Audit","","","","",,,,
"473",":Actual Work:__Entity__","","","work carried out on the component","","","","",,,,
"474",":Document:__Entity__","","","work recorded on the Authorized Release Certificate","","","","",,,,
